Sr.No.,Country,AgeGroup,Sex,MaritalStatus,DataProcess,Data Collection (Start Year),Data Collection (End Year),Data Source
1,Afghanistan,[15-19],Man,Divorced,Survey,1972,1974,National statistics
2,Afghanistan,[20-24],Man,Divorced,Survey,1972,1974,National statistics
3,Afghanistan,[25-29],Man,Divorced,Survey,1972,1974,National statistics
4,Afghanistan,[30-34],Man,Divorced,Survey,1972,1974,National statistics
5,Afghanistan,[35-39],Man,Divorced,Survey,1972,1974,National statistics
6,Afghanistan,[40-44],Man,Divorced,Survey,1972,1974,National statistics
7,Afghanistan,[45-49],Man,Divorced,Survey,1972,1974,National statistics
8,Afghanistan,[50-54],Man,Divorced,Survey,1972,1974,National statistics
9,Afghanistan,[55-59],Man,Divorced,Survey,1972,1974,National statistics
10,Afghanistan,[60-64],Man,Divorced,Survey,1972,1974,National statistics
11,Afghanistan,[65+],Man,Divorced,Survey,1972,1974,National statistics
12,Afghanistan,[15-19],Man,Married,Survey,1972,1974,National statistics
13,Afghanistan,[20-24],Man,Married,Survey,1972,1974,National statistics
14,Afghanistan,[25-29],Man,Married,Survey,1972,1974,National statistics
15,Afghanistan,[30-34],Man,Married,Survey,1972,1974,National statistics
16,Afghanistan,[35-39],Man,Married,Survey,1972,1974,National statistics
17,Afghanistan,[40-44],Man,Married,Survey,1972,1974,National statistics
18,Afghanistan,[45-49],Man,Married,Survey,1972,1974,National statistics
19,Afghanistan,[50-54],Man,Married,Survey,1972,1974,National statistics
20,Afghanistan,[55-59],Man,Married,Survey,1972,1974,National statistics
21,Afghanistan,[60-64],Man,Married,Survey,1972,1974,National statistics
22,Afghanistan,[65+],Man,Married,Survey,1972,1974,National statistics
23,Afghanistan,[15-19],Man,Single,Survey,1972,1974,National statistics
24,Afghanistan,[20-24],Man,Single,Survey,1972,1974,National statistics
25,Afghanistan,[25-29],Man,Single,Survey,1972,1974,National statistics
26,Afghanistan,[30-34],Man,Single,Survey,1972,1974,National statistics
27,Afghanistan,[35-39],Man,Single,Survey,1972,1974,National statistics
28,Afghanistan,[40-44],Man,Single,Survey,1972,1974,National statistics
29,Afghanistan,[45-49],Man,Single,Survey,1972,1974,National statistics
30,Afghanistan,[50-54],Man,Single,Survey,1972,1974,National statistics
31,Afghanistan,[55-59],Man,Single,Survey,1972,1974,National statistics
32,Afghanistan,[60-64],Man,Single,Survey,1972,1974,National statistics
33,Afghanistan,[65+],Man,Single,Survey,1972,1974,National statistics
45,Afghanistan,[15-19],Woman,Divorced,Survey,1972,1974,National statistics
46,Afghanistan,[20-24],Woman,Divorced,Survey,1972,1974,National statistics
47,Afghanistan,[25-29],Woman,Divorced,Survey,1972,1974,National statistics
48,Afghanistan,[30-34],Woman,Divorced,Survey,1972,1974,National statistics
49,Afghanistan,[35-39],Woman,Divorced,Survey,1972,1974,National statistics
50,Afghanistan,[40-44],Woman,Divorced,Survey,1972,1974,National statistics
51,Afghanistan,[45-49],Woman,Divorced,Survey,1972,1974,National statistics
