p,d,q,MAPE
1,1,1,22.0136787791301
1,1,2,21.982175133772543
1,1,3,21.098663428050955
1,1,4,19.13988371730334
1,1,5,20.421980735771815
1,1,6,21.257574536179177
1,1,7,15.918119210761681
1,1,8,17.7908641849435
1,1,9,8.068178174148818
1,1,10,7.613878323873637
1,1,11,14.918198677330341
1,1,12,13.546708364081189
1,1,13,13.000245870926994
1,1,14,16.231046549090937
1,1,15,15.7474992627579
1,1,16,14.494067464153257
1,1,17,14.530611033247872
1,1,18,14.621738053470079
1,1,19,15.00149768747582
1,2,1,7.552862786592801
1,2,2,8.128757570062763
1,2,3,8.185400143226039
1,2,4,11.37837006978033
1,2,5,14.29180736630131
1,2,6,12.548345859607426
1,2,7,15.606923806250089
1,2,8,8.833428916577502
1,2,9,9.291738626407271
1,2,10,12.656008982029956
1,2,11,7.329450340087002
1,2,12,7.390612890234387
1,2,13,4.662219939405167
1,2,14,10.153884121867424
1,2,15,10.105661100432833
1,2,16,5.297638308708793
1,2,17,16.014401202263016
1,2,18,16.97194385614833
1,2,19,17.315817514482404
1,3,1,66.74854816716666
1,3,2,8.22521690035986
1,3,3,3.8418513441414093
1,3,4,7.441223021612436
1,3,5,11.155042416684495
1,3,6,10.471017970704839
1,3,7,40.23989907908616
1,3,8,41.35103776993883
1,3,9,40.15878066676562
1,3,10,21.70178874079608
1,3,11,30.48329709039289
1,3,12,41.32521479461162
1,3,13,39.11308038560878
1,3,14,41.16736394772577
1,3,15,54.5561392561399
1,3,16,44.677639199792374
1,3,17,81.58063147360481
1,3,18,72.54671132835618
1,3,19,66.00242797173334
1,4,1,102.04208378066495
1,4,2,116.91211774019592
1,4,3,56.740772802676545
1,4,4,39.02369615811573
1,4,5,31.042481740380683
1,4,6,38.628523543211074
1,4,7,51.042210083894346
1,4,8,61.53179102275889
1,4,9,54.874966585527815
1,4,10,75.01726581435456
1,4,11,16.635993520305767
1,4,12,120.68989205107043
1,4,13,157.52810384252004
1,4,14,174.83862987596802
1,4,15,198.60734195076247
1,4,16,301.16227070565054
1,4,17,299.6318609310256
1,4,18,283.199688032068
1,4,19,113.05106480596112
1,5,1,4374.98771122888
1,5,2,191.29783576836317
1,5,3,123.16630028664095
1,5,4,188.86544067204093
1,5,5,136.5358597072851
1,5,6,308.8935731103295
1,5,7,313.37190060587477
1,5,8,418.329446448156
1,5,9,412.8992719977423
1,5,10,348.3392975413544
1,5,11,821.7094035302109
1,5,12,856.2746596391797
1,5,13,899.8760158768707
1,5,14,875.884497553481
1,5,15,1072.8218770158503
1,5,16,1147.5769485826775
1,5,17,1387.5071555465004
1,5,18,677.140096992409
1,5,19,892.5340028860985
1,6,1,29183.46504946574
1,6,2,6316.553098565373
1,6,3,138.44333039491107
1,6,4,794.9047976665559
1,6,5,1782.8353124206885
1,6,6,2090.218945127834
1,6,7,1681.4540889750092
1,6,8,1888.6866242070316
1,6,9,2222.9348655093136
1,6,10,2988.401695675127
1,6,11,2513.94489459454
